step,Low,Mid,High
0,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,0.25547785547785545,0.3874125874125874,0.3571095571095571
2,0.24067224151140235,0.3958961318401878,0.3634316266484099
3,0.23782395067563047,0.3976076440552943,0.36456840526907525
4,0.23727744366529407,0.39793256931594734,0.3647899870187587
5,0.23717252130430067,0.397995102394157,0.3648323763015425
6,0.2371523803080387,0.39800709967786907,0.36484052001409245
7,0.23714851390276634,0.39800940304925747,0.3648420830479764
8,0.237147771686072,0.3980098452045994,0.3648423831093288
9,0.2371476292057906,0.3980099300838925,0.3648424407103172
10,0.23714760185444794,0.3980099463777906,0.36484245176776176
