draft_year,avg_index_double,avg_index_single,avg_index_zero,med_index_double,med_index_single,med_index_zero,avg_abs_index_double,avg_abs_index_single,avg_abs_index_zero,med_abs_index_double,med_abs_index_single,med_abs_index_zero,overdraft_rate_double,overdraft_rate_single,overdraft_rate_zero,underdraft_rate_double,underdraft_rate_single,underdraft_rate_zero,aligned_rate_double,aligned_rate_single,aligned_rate_zero,n_double,n_single,n_zero
2001,17.333333333333332,8.583333333333334,-2.1875,16.0,11.0,-4.0,17.333333333333332,12.083333333333334,7.1875,16.0,11.0,7.5,1.0,0.6666666666666666,0.375,0.0,0.3333333333333333,0.625,0.0,0.0,0.0,3.0,12.0,16.0
2002,27.0,8.6,-3.4,27.0,10.0,-5.0,27.0,10.6,7.666666666666667,27.0,10.0,7.0,1.0,0.7333333333333333,0.26666666666666666,0.0,0.26666666666666666,0.7333333333333333,0.0,0.0,0.0,1.0,15.0,15.0
2003,14.333333333333334,9.125,4.476190476190476,17.0,10.5,4.0,14.333333333333334,10.375,9.80952380952381,17.0,10.5,10.0,1.0,0.875,0.5714285714285714,0.0,0.125,0.42857142857142855,0.0,0.0,0.0,3.0,8.0,21.0
2004,8.5,8.545454545454545,0.47058823529411764,7.5,9.0,0.0,9.5,9.454545454545455,8.0,7.5,9.0,8.0,0.75,0.9090909090909091,0.47058823529411764,0.25,0.09090909090909091,0.47058823529411764,0.0,0.0,0.058823529411764705,4.0,11.0,17.0
2005,12.333333333333334,8.272727272727273,1.3888888888888888,6.0,5.0,3.5,12.333333333333334,9.545454545454545,8.38888888888889,6.0,5.0,7.5,1.0,0.7272727272727273,0.5555555555555556,0.0,0.18181818181818182,0.4444444444444444,0.0,0.09090909090909091,0.0,3.0,11.0,18.0
2006,18.0,10.0,-3.5,18.0,13.0,-3.5,18.0,12.142857142857142,7.125,18.0,13.0,5.5,1.0,0.7857142857142857,0.3125,0.0,0.14285714285714285,0.625,0.0,0.07142857142857142,0.0625,2.0,14.0,16.0
2007,4.0,7.384615384615385,2.9444444444444446,4.0,9.0,3.5,4.0,9.538461538461538,8.722222222222221,4.0,9.0,8.5,1.0,0.7692307692307693,0.5555555555555556,0.0,0.15384615384615385,0.3888888888888889,0.0,0.07692307692307693,0.05555555555555555,1.0,13.0,18.0
2008,20.0,8.461538461538462,1.2777777777777777,20.0,8.0,-0.5,20.0,11.846153846153847,8.055555555555555,20.0,10.0,8.0,1.0,0.7692307692307693,0.5,0.0,0.23076923076923078,0.5,0.0,0.0,0.0,1.0,13.0,18.0
2009,10.5,5.7,3.0,11.0,4.0,4.5,10.5,7.7,9.222222222222221,11.0,5.5,10.5,1.0,0.7,0.5555555555555556,0.0,0.2,0.3888888888888889,0.0,0.1,0.05555555555555555,4.0,10.0,18.0
2010,5.0,9.0,-0.75,3.0,12.0,-0.5,5.0,11.615384615384615,8.875,3.0,12.0,10.0,1.0,0.7692307692307693,0.4375,0.0,0.23076923076923078,0.5,0.0,0.0,0.0625,3.0,13.0,16.0
2011,16.0,10.1,4.428571428571429,16.0,9.5,5.0,16.0,12.1,8.333333333333334,16.0,9.5,7.0,1.0,0.8,0.6190476190476191,0.0,0.2,0.3333333333333333,0.0,0.0,0.047619047619047616,1.0,10.0,21.0
2012,0.0,7.636363636363637,5.3,0.0,8.0,5.5,0.0,8.363636363636363,9.0,0.0,8.0,8.0,0.0,0.7272727272727273,0.65,0.0,0.18181818181818182,0.3,1.0,0.09090909090909091,0.05,1.0,11.0,20.0
2013,6.0,6.923076923076923,-0.6,6.0,9.0,1.0,6.0,10.153846153846153,9.0,6.0,10.0,10.0,1.0,0.6923076923076923,0.5333333333333333,0.0,0.3076923076923077,0.4666666666666667,0.0,0.0,0.0,4.0,13.0,15.0
2014,12.0,12.0,2.3,12.0,10.0,2.5,12.0,13.090909090909092,8.1,12.0,10.0,7.5,1.0,0.9090909090909091,0.55,0.0,0.09090909090909091,0.45,0.0,0.0,0.0,1.0,11.0,20.0
2015,22.0,10.23076923076923,-0.1111111111111111,22.0,8.0,-0.5,22.0,12.076923076923077,7.444444444444445,22.0,8.0,7.5,1.0,0.7692307692307693,0.4444444444444444,0.0,0.23076923076923078,0.5,0.0,0.0,0.05555555555555555,1.0,13.0,18.0
2016,15.0,6.357142857142857,-1.9333333333333333,20.0,9.5,-1.0,15.0,10.357142857142858,6.866666666666666,20.0,11.0,7.0,1.0,0.7857142857142857,0.4,0.0,0.21428571428571427,0.5333333333333333,0.0,0.0,0.06666666666666667,3.0,14.0,15.0
2017,3.5,1.7142857142857142,1.75,3.0,0.0,4.0,3.5,8.285714285714286,6.75,3.0,7.5,5.5,1.0,0.5,0.5833333333333334,0.0,0.5,0.4166666666666667,0.0,0.0,0.0,6.0,14.0,12.0
2018,3.5,9.0,-0.8125,3.5,6.0,-0.5,3.5,10.857142857142858,7.0625,3.5,7.0,7.0,1.0,0.8571428571428571,0.5,0.0,0.14285714285714285,0.5,0.0,0.0,0.0,2.0,14.0,16.0
2019,4.0,8.923076923076923,-1.8,2.5,10.0,-3.0,8.5,9.538461538461538,9.0,7.0,10.0,10.0,0.5,0.9230769230769231,0.4,0.25,0.07692307692307693,0.6,0.25,0.0,0.0,4.0,13.0,15.0
2020,,6.117647058823529,0.06666666666666667,,5.0,0.0,,7.294117647058823,9.0,,5.0,9.0,,0.7058823529411765,0.4666666666666667,,0.29411764705882354,0.4666666666666667,,0.0,0.06666666666666667,,17.0,15.0
2021,,7.8125,-0.3125,,9.5,-0.5,,9.0625,8.8125,,9.5,10.0,,0.8125,0.4375,,0.1875,0.5,,0.0,0.0625,,16.0,16.0
2022,9.5,11.0,1.631578947368421,9.5,10.0,3.0,9.5,11.181818181818182,7.7368421052631575,9.5,10.0,7.0,1.0,0.9090909090909091,0.5789473684210527,0.0,0.09090909090909091,0.42105263157894735,0.0,0.0,0.0,2.0,11.0,19.0
2023,11.0,7.333333333333333,3.210526315789474,14.0,8.0,5.0,15.0,9.11111111111111,9.31578947368421,14.5,8.0,8.0,0.75,0.8888888888888888,0.631578947368421,0.25,0.1111111111111111,0.3684210526315789,0.0,0.0,0.0,4.0,9.0,19.0
2024,8.666666666666666,6.9,4.0,10.0,4.0,4.0,8.666666666666666,9.9,8.105263157894736,10.0,6.5,8.0,0.6666666666666666,0.7,0.631578947368421,0.0,0.3,0.3157894736842105,0.3333333333333333,0.0,0.05263157894736842,3.0,10.0,19.0
2025,,,15.5,,,15.5,,,15.5,,,15.5,,,0.96875,,,0.0,,,0.03125,,,32.0
