team,draft_season,grp,avg_DCI,total_DCI,n_dbs
ARI,2019,single,-0.00275498070192888,-0.00275498070192888,1
ATL,2020,single,-0.0013889936574736016,-0.0013889936574736016,1
ATL,2021,single,0.0011016496037845266,0.0011016496037845266,1
BAL,2021,zero,-0.004500620271046297,-0.004500620271046297,1
BUF,2022,single,-0.0016291286948965748,-0.0016291286948965748,1
CAR,2020,single,-0.002275642124263097,-0.002275642124263097,1
CAR,2021,single,-0.004555007497807412,-0.004555007497807412,1
CHI,2020,single,-0.016190616677695086,-0.016190616677695086,1
CHI,2022,single,0.013871427424531894,0.013871427424531894,1
CIN,2022,double,-0.00848032683035926,-0.01696065366071852,2
CLE,2019,double,-0.0027863493429701137,-0.0027863493429701137,1
CLE,2020,single,0.0026184705028145265,0.0026184705028145265,1
CLE,2021,single,0.0009028777593569218,0.0009028777593569218,1
CLE,2022,single,0.0007849964397312608,0.0007849964397312608,1
DAL,2020,single,0.00824931684563685,0.00824931684563685,1
DAL,2021,single,0.002333684822106094,0.004667369644212188,2
DEN,2020,single,0.0037075153638754213,0.0037075153638754213,1
DEN,2021,single,0.018259945707829395,0.018259945707829395,1
DET,2019,single,-0.006000345454370189,-0.006000345454370189,1
DET,2020,single,-0.0007990957068825895,-0.0007990957068825895,1
DET,2021,zero,0.0005433078945342757,0.0005433078945342757,1
DET,2022,zero,-0.0014996679916916035,-0.0014996679916916035,1
GNB,2019,unknown,0.0,0.0,1
GNB,2021,unknown,0.0,0.0,1
HOU,2019,single,-0.012920590090444899,-0.012920590090444899,1
HOU,2022,single,0.006411177855059556,0.006411177855059556,1
IND,2019,single,-0.006352224091033997,-0.006352224091033997,1
IND,2020,single,0.009496947236894765,0.009496947236894765,1
IND,2022,zero,-0.0013048201758293328,-0.0013048201758293328,1
JAX,2019,zero,-0.009867219889255886,-0.009867219889255886,1
JAX,2020,single,-0.0030894388581613544,-0.0030894388581613544,1
JAX,2021,single,0.013771032645047214,0.02754206529009443,2
KAN,2019,unknown,0.0,0.0,1
KAN,2022,unknown,0.0,0.0,1
LAC,2019,single,0.0,0.0,1
LAC,2021,single,-0.0009118941020034001,-0.0009118941020034001,1
LAR,2019,unknown,0.0,0.0,2
LAR,2020,unknown,0.0,0.0,1
LVR,2020,unknown,0.0,0.0,2
LVR,2021,unknown,0.0,0.0,1
MIA,2020,single,0.006478056287857338,0.012956112575714676,2
MIA,2021,single,0.0013015969104422447,0.0013015969104422447,1
MIN,2020,single,-0.006478510109153464,-0.012957020218306928,2
MIN,2022,double,7.655183455393378e-05,0.00015310366910786756,2
NAN,2022,unknown,0.0,0.0,5
NOR,2021,unknown,0.0,0.0,1
NOR,2022,unknown,0.0,0.0,1
NWE,2019,unknown,0.0,0.0,1
NWE,2020,unknown,0.0,0.0,1
NWE,2022,unknown,0.0,0.0,1
NYG,2019,single,0.01084440936090928,0.01084440936090928,1
NYG,2020,single,0.015949138605898576,0.015949138605898576,1
NYG,2021,single,-0.0008790517041651418,-0.0008790517041651418,1
NYG,2022,zero,-0.003381051767751741,-0.003381051767751741,1
NYJ,2020,single,-0.015014673066902531,-0.015014673066902531,1
NYJ,2022,single,0.03800710128112268,0.03800710128112268,1
OAK,2019,unknown,0.0,0.0,2
PIT,2019,single,0.0004982719375250226,0.0004982719375250226,1
SEA,2019,single,0.001507569141464592,0.001507569141464592,1
SFO,2021,unknown,0.0,0.0,1
TAM,2019,unknown,0.0,0.0,3
TAM,2020,unknown,0.0,0.0,1
TEN,2020,single,-0.0005619661539325709,-0.0005619661539325709,1
TEN,2021,single,-0.002127695745411491,-0.004255391490822982,2
TEN,2022,single,-0.009345985057437155,-0.009345985057437155,1
WAS,2021,single,-0.0033096579971453096,-0.0033096579971453096,1
